2503;1329;[2621608.8660016013, 1219442.770066309, 2621671.3092920464, 1219475.9251334292][0],[2621608.8660016013, 1219442.770066309, 2621671.3092920464, 1219475.9251334292][1],[2621608.8660016013, 1219442.770066309, 2621671.3092920464, 1219475.9251334292][2],[2621608.8660016013, 1219442.770066309, 2621671.3092920464, 1219475.9251334292][3];
2102;1098;[2628196.7358173267, 1232567.1206024573, 2628777.0399415563, 1232870.2480660179][0],[2628196.7358173267, 1232567.1206024573, 2628777.0399415563, 1232870.2480660179][1],[2628196.7358173267, 1232567.1206024573, 2628777.0399415563, 1232870.2480660179][2],[2628196.7358173267, 1232567.1206024573, 2628777.0399415563, 1232870.2480660179][3]
2338;1165;[2603204.9130979204, 1248095.3263868473, 2606437.094291084, 1249705.8871610283][0],[2603204.9130979204, 1248095.3263868473, 2606437.094291084, 1249705.8871610283][1],[2603204.9130979204, 1248095.3263868473, 2606437.094291084, 1249705.8871610283][2],[2603204.9130979204, 1248095.3263868473, 2606437.094291084, 1249705.8871610283][3]
2241;1370;[2590845.640527298, 1255292.8890580265, 2603271.76588653, 1262889.404784107][0],[2590845.640527298, 1255292.8890580265, 2603271.76588653, 1262889.404784107][1],[2590845.640527298, 1255292.8890580265, 2603271.76588653, 1262889.404784107][2],[2590845.640527298, 1255292.8890580265, 2603271.76588653, 1262889.404784107][3]
2515;1386;[2625697.3445672872, 1249241.9516122055, 2626437.625809193, 1249649.915747904][0],[2625697.3445672872, 1249241.9516122055, 2626437.625809193, 1249649.915747904][1],[2625697.3445672872, 1249241.9516122055, 2626437.625809193, 1249649.915747904][2],[2625697.3445672872, 1249241.9516122055, 2626437.625809193, 1249649.915747904][3]
1924;1373;[2605409.7080501663, 1222330.7707453799, 2607324.3865524735, 1223697.1187618393][0],[2605409.7080501663, 1222330.7707453799, 2607324.3865524735, 1223697.1187618393][1],[2605409.7080501663, 1222330.7707453799, 2607324.3865524735, 1223697.1187618393][2],[2605409.7080501663, 1222330.7707453799, 2607324.3865524735, 1223697.1187618393][3]
2413;1129;[2622061.03016828, 1266228.1112384454, 2622103.913383305, 1266248.1755359026][0],[2622061.03016828, 1266228.1112384454, 2622103.913383305, 1266248.1755359026][1],[2622061.03016828, 1266228.1112384454, 2622103.913383305, 1266248.1755359026][2],[2622061.03016828, 1266228.1112384454, 2622103.913383305, 1266248.1755359026][3]
2082;1195;[2625605.986489013, 1220848.2090579602, 2625648.7568703545, 1220872.7578599309][0],[2625605.986489013, 1220848.2090579602, 2625648.7568703545, 1220872.7578599309][1],[2625605.986489013, 1220848.2090579602, 2625648.7568703545, 1220872.7578599309][2],[2625605.986489013, 1220848.2090579602, 2625648.7568703545, 1220872.7578599309][3]
1976;1382;[2633543.106403097, 1230825.581044071, 2633975.522700175, 1231128.0098510357][0],[2633543.106403097, 1230825.581044071, 2633975.522700175, 1231128.0098510357][1],[2633543.106403097, 1230825.581044071, 2633975.522700175, 1231128.0098510357][2],[2633543.106403097, 1230825.581044071, 2633975.522700175, 1231128.0098510357][3]
1975;1371;[2635811.1088233977, 1214656.1231054824, 2636613.6798264454, 1215213.24960937][0],[2635811.1088233977, 1214656.1231054824, 2636613.6798264454, 1215213.24960937][1],[2635811.1088233977, 1214656.1231054824, 2636613.6798264454, 1215213.24960937][2],[2635811.1088233977, 1214656.1231054824, 2636613.6798264454, 1215213.24960937][3]
2099;1394;[2634536.5055941422, 1217532.6854397636, 2634608.1305977595, 1217580.2534507415][0],[2634536.5055941422, 1217532.6854397636, 2634608.1305977595, 1217580.2534507415][1],[2634536.5055941422, 1217532.6854397636, 2634608.1305977595, 1217580.2534507415][2],[2634536.5055941422, 1217532.6854397636, 2634608.1305977595, 1217580.2534507415][3]
2275;1385;[2611378.871426245, 1263257.7172978062, 2611405.05416542, 1263273.657119238][0],[2611378.871426245, 1263257.7172978062, 2611405.05416542, 1263273.657119238][1],[2611378.871426245, 1263257.7172978062, 2611405.05416542, 1263273.657119238][2],[2611378.871426245, 1263257.7172978062, 2611405.05416542, 1263273.657119238][3]
2486;1273;[2630356.2677519694, 1238052.542297081, 2630407.4438704243, 1238078.7479281318][0],[2630356.2677519694, 1238052.542297081, 2630407.4438704243, 1238078.7479281318][1],[2630356.2677519694, 1238052.542297081, 2630407.4438704243, 1238078.7479281318][2],[2630356.2677519694, 1238052.542297081, 2630407.4438704243, 1238078.7479281318][3]
2152;1140;[2633575.8993066605, 1212630.398598984, 2633653.810667075, 1212671.6713456716][0],[2633575.8993066605, 1212630.398598984, 2633653.810667075, 1212671.6713456716][1],[2633575.8993066605, 1212630.398598984, 2633653.810667075, 1212671.6713456716][2],[2633575.8993066605, 1212630.398598984, 2633653.810667075, 1212671.6713456716][3]
2212;1148;[2608917.9516938264, 1252099.5454116603, 2622478.9104299396, 1259137.5113379974][0],[2608917.9516938264, 1252099.5454116603, 2622478.9104299396, 1259137.5113379974][1],[2608917.9516938264, 1252099.5454116603, 2622478.9104299396, 1259137.5113379974][2],[2608917.9516938264, 1252099.5454116603, 2622478.9104299396, 1259137.5113379974][3]
2218;1203;[2612001.074506823, 1249783.156768882, 2612048.6908352682, 1249808.9829380072][0],[2612001.074506823, 1249783.156768882, 2612048.6908352682, 1249808.9829380072][1],[2612001.074506823, 1249783.156768882, 2612048.6908352682, 1249808.9829380072][2],[2612001.074506823, 1249783.156768882, 2612048.6908352682, 1249808.9829380072][3]
1933;1156;[2620702.4547591163, 1234050.189145942, 2633219.7115335856, 1241535.9360840104][0],[2620702.4547591163, 1234050.189145942, 2633219.7115335856, 1241535.9360840104][1],[2620702.4547591163, 1234050.189145942, 2633219.7115335856, 1241535.9360840104][2],[2620702.4547591163, 1234050.189145942, 2633219.7115335856, 1241535.9360840104][3]
2170;1274;[2597705.2310530595, 1246289.5880750043, 2613029.2762944107, 1255286.2856037973][0],[2597705.2310530595, 1246289.5880750043, 2613029.2762944107, 1255286.2856037973][1],[2597705.2310530595, 1246289.5880750043, 2613029.2762944107, 1255286.2856037973][2],[2597705.2310530595, 1246289.5880750043, 2613029.2762944107, 1255286.2856037973][3]
2058;1109;[2614797.846464376, 1259938.0749664234, 2614866.735449896, 1259975.1973594956][0],[2614797.846464376, 1259938.0749664234, 2614866.735449896, 1259975.1973594956][1],[2614797.846464376, 1259938.0749664234, 2614866.735449896, 1259975.1973594956][2],[2614797.846464376, 1259938.0749664234, 2614866.735449896, 1259975.1973594956][3]
2016;1308;[2596602.7015427183, 1260714.8576650517, 2600609.309333178, 1263314.3829576713][0],[2596602.7015427183, 1260714.8576650517, 2600609.309333178, 1263314.3829576713][1],[2596602.7015427183, 1260714.8576650517, 2600609.309333178, 1263314.3829576713][2],[2596602.7015427183, 1260714.8576650517, 2600609.309333178, 1263314.3829576713][3]
2214;1300;[2628603.006197514, 1246535.366702675, 2636556.275600966, 1251205.3080868158][0],[2628603.006197514, 1246535.366702675, 2636556.275600966, 1251205.3080868158][1],[2628603.006197514, 1246535.366702675, 2636556.275600966, 1251205.3080868158][2],[2628603.006197514, 1246535.366702675, 2636556.275600966, 1251205.3080868158][3]
2402;1141;[2600656.1717876494, 1221910.6478862318, 2600692.6335303523, 1221927.967973003][0],[2600656.1717876494, 1221910.6478862318, 2600692.6335303523, 1221927.967973003][1],[2600656.1717876494, 1221910.6478862318, 2600692.6335303523, 1221927.967973003][2],[2600656.1717876494, 1221910.6478862318, 2600692.6335303523, 1221927.967973003][3]
2519;1196;[2640795.243375087, 1211885.3145851311, 2641339.4222624954, 1212143.6861410425][0],[2640795.243375087, 1211885.3145851311, 2641339.4222624954, 1212143.6861410425][1],[2640795.243375087, 1211885.3145851311, 2641339.4222624954, 1212143.6861410425][2],[2640795.243375087, 1211885.3145851311, 2641339.4222624954, 1212143.6861410425][3]
2182;1403;[2600574.5566929234, 1261356.0374872445, 2601777.023925054, 1262129.2095892972][0],[2600574.5566929234, 1261356.0374872445, 2601777.023925054, 1262129.2095892972][1],[2600574.5566929234, 1261356.0374872445, 2601777.023925054, 1262129.2095892972][2],[2600574.5566929234, 1261356.0374872445, 2601777.023925054, 1262129.2095892972][3]
1996;1166;[2603860.3633323424, 1245422.856754794, 2616181.5806237636, 1252620.5217657147][0],[2603860.3633323424, 1245422.856754794, 2616181.5806237636, 1252620.5217657147][1],[2603860.3633323424, 1245422.856754794, 2616181.5806237636, 1252620.5217657147][2],[2603860.3633323424, 1245422.856754794, 2616181.5806237636, 1252620.5217657147][3]
